,BBL,InspectionDate,Latitude,Longitude,Postcode,CurrentStatus,CurrentStatusDate
20373,1022280021,1996-01-02,40.867369,-73.917909,10034,VIOLATION CLOSED,12/18/2017
20374,1022280021,1996-01-02,40.867369,-73.917909,10034,VIOLATION CLOSED,12/18/2017
20252,-2147483648,1996-01-17,40.703954,-73.924282,11237,VIOLATION CLOSED,05/29/2014
20165,-2147483648,1996-04-19,40.64283,-73.959646,11226,VIOLATION CLOSED,01/22/2020
20153,-2147483648,1996-04-26,40.68834,-73.925666,11221,VIOLATION CLOSED,07/24/2015
20116,-2147483648,1996-05-03,40.67425,-73.886974,11207,VIOLATION CLOSED,12/11/2017
11232,1019510043,1996-05-09,40.810531,-73.952052,10027,VIOLATION CLOSED,03/09/2022
11237,1019510043,1996-05-09,40.810531,-73.952052,10027,VIOLATION CLOSED,03/09/2022
11236,1019510043,1996-05-09,40.810531,-73.952052,10027,VIOLATION CLOSED,03/09/2022
11231,1019510043,1996-05-09,40.810531,-73.952052,10027,VIOLATION CLOSED,03/09/2022
11230,1019510043,1996-05-09,40.810531,-73.952052,10027,VIOLATION CLOSED,03/09/2022
11235,1019510043,1996-05-09,40.810531,-73.952052,10027,VIOLATION CLOSED,03/09/2022
11234,1019510043,1996-05-09,40.810531,-73.952052,10027,VIOLATION CLOSED,03/09/2022
11233,1019510043,1996-05-09,40.810531,-73.952052,10027,VIOLATION CLOSED,03/09/2022
14290,-2147483648,1996-05-13,40.673849,-73.878817,11208,VIOLATION CLOSED,04/28/2014
14291,-2147483648,1996-05-13,40.673849,-73.878817,11208,VIOLATION CLOSED,04/28/2014
20170,-2147483648,1996-05-22,40.67213,-73.926629,11213,VIOLATION CLOSED,09/17/2015
20171,-2147483648,1996-05-22,40.67213,-73.926629,11213,VIOLATION CLOSED,09/17/2015
14611,-2147483648,1996-05-29,40.622615,-73.96259,11230,VIOLATION CLOSED,04/05/2013
20370,1020750053,1996-06-04,40.82514,-73.949494,10031,VIOLATION CLOSED,08/18/2015
20143,-2147483648,1996-06-14,40.71903,-73.946858,11222,NOV SENT OUT,07/30/1996
20142,-2147483648,1996-06-14,40.71903,-73.946858,11222,NOV SENT OUT,07/30/1996
20144,-2147483648,1996-06-14,40.71903,-73.946858,11222,NOV SENT OUT,07/30/1996
10144,2028400088,1996-08-23,40.837467,-73.916642,10452,VIOLATION DISMISSED,06/14/2013
20138,-2147483648,1996-09-28,40.672907,-73.87574,11208,NOV SENT OUT,10/15/1996
20179,-2147483648,1996-10-02,40.68791,-73.927073,11221,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/05/2009
20315,1017210056,1996-10-17,40.806079,-73.944553,10027,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/27/2011
20316,1017210056,1996-10-17,40.806079,-73.944553,10027,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/27/2011
20317,1017210056,1996-10-17,40.806079,-73.944553,10027,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/27/2011
20318,1017210056,1996-10-17,40.806079,-73.944553,10027,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/27/2011
20312,1017210056,1996-10-17,40.806079,-73.944553,10027,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/27/2011
20314,1017210056,1996-10-17,40.806079,-73.944553,10027,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/27/2011
20313,1017210056,1996-10-17,40.806079,-73.944553,10027,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/27/2011
20347,1017350033,1997-01-27,40.814268,-73.937201,10037,VIOLATION CLOSED,04/22/2016
20296,1015170041,1997-02-04,40.78107,-73.953344,10128,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/02/2013
20297,1015170041,1997-02-04,40.78107,-73.953344,10128,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/02/2013
20295,1015170041,1997-02-04,40.78107,-73.953344,10128,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/02/2013
20060,-2147483648,1997-02-12,40.650971,-73.946448,11203,FIRST NO ACCESS TO RE- INSPECT VIOLATION,12/03/2014
20369,1020750049,1997-02-15,40.825058,-73.949299,10031,VIOLATION CLOSED,12/08/2014
20124,-2147483648,1997-04-29,40.692515,-73.934853,11221,FIRST NO ACCESS TO RE- INSPECT VIOLATION,08/15/2015
20123,-2147483648,1997-04-29,40.692515,-73.934853,11221,FIRST NO ACCESS TO RE- INSPECT VIOLATION,08/15/2015
20125,-2147483648,1997-04-29,40.692515,-73.934853,11221,FIRST NO ACCESS TO RE- INSPECT VIOLATION,08/15/2015
14021,-2147483648,1997-06-03,40.62395,-74.024121,11209,NOV CERTIFIED LATE,10/06/1997
20198,-2147483648,1997-06-06,40.668147,-73.951866,11225,NOV SENT OUT,07/29/1997
20197,-2147483648,1997-06-06,40.668147,-73.951866,11225,NOV SENT OUT,07/29/1997
20196,-2147483648,1997-06-06,40.668147,-73.951866,11225,NOV SENT OUT,07/29/1997
20298,1015170041,1997-06-19,40.78107,-73.953344,10128,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/02/2013
20072,-2147483648,1997-07-07,40.668904,-73.932858,11213,DEFECT LETTER ISSUED,06/15/2013
20069,-2147483648,1997-07-07,40.668904,-73.932858,11213,DEFECT LETTER ISSUED,06/15/2013
20071,-2147483648,1997-07-07,40.668904,-73.932858,11213,DEFECT LETTER ISSUED,06/15/2013
20070,-2147483648,1997-07-07,40.668904,-73.932858,11213,DEFECT LETTER ISSUED,06/15/2013
22295,2027420037,1997-08-07,40.822757,-73.891762,10459,DEFECT LETTER ISSUED,03/17/2014
20311,1022150465,1997-08-11,40.874862,-73.910845,10463,VIOLATION CLOSED,09/14/2018
20310,1022150465,1997-08-11,40.874862,-73.910845,10463,VIOLATION CLOSED,09/14/2018
20309,1022150465,1997-08-11,40.874862,-73.910845,10463,VIOLATION CLOSED,09/14/2018
20308,1022150465,1997-08-11,40.874862,-73.910845,10463,VIOLATION CLOSED,09/14/2018
20330,1007590067,1997-08-13,40.754049,-73.993886,10018,NOV CERTIFIED LATE,01/13/1998
15252,-2147483648,1997-08-18,40.673454,-73.876377,11208,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/09/2019
20154,-2147483648,1997-08-25,40.68834,-73.925666,11221,VIOLATION CLOSED,08/03/2015
20286,1003890022,1997-09-16,40.724596,-73.980103,10009,VIOLATION CLOSED,11/20/2013
24648,-2147483648,1997-12-03,40.632249,-73.987851,11219,FIRST NO ACCESS TO RE- INSPECT VIOLATION,08/22/2007
24647,-2147483648,1997-12-03,40.632249,-73.987851,11219,FIRST NO ACCESS TO RE- INSPECT VIOLATION,08/22/2007
20167,-2147483648,1997-12-15,40.677516,-73.947414,11216,DEFECT LETTER ISSUED,07/16/2019
20653,2029660017,1998-01-15,40.834973,-73.894052,10460,VIOLATION CLOSED,06/23/2013
20654,2029660017,1998-01-15,40.834973,-73.894052,10460,VIOLATION CLOSED,06/23/2013
20106,-2147483648,1998-01-28,40.679767,-73.908961,11233,VIOLATION CLOSED,05/12/2015
20326,1004770001,1998-02-02,40.723214,-74.006205,10013,DEFECT LETTER ISSUED,07/12/2009
20325,1004770001,1998-02-02,40.723214,-74.006205,10013,DEFECT LETTER ISSUED,07/12/2009
20059,-2147483648,1998-02-04,40.683936,-73.983295,11217,NOV SENT OUT,02/17/1998
20058,-2147483648,1998-02-04,40.683936,-73.983295,11217,NOV SENT OUT,02/17/1998
20300,1017080034,1998-02-12,40.794938,-73.935027,10029,FALSE CERTIFICATION,02/12/1998
11632,-2147483648,1998-02-12,40.660871,-73.981326,11215,DEFECT LETTER ISSUED,02/12/1998
11633,-2147483648,1998-02-12,40.660871,-73.981326,11215,DEFECT LETTER ISSUED,02/12/1998
20096,-2147483648,1998-02-14,40.657292,-73.959363,11225,VIOLATION CLOSED,04/21/2016
20227,-2147483648,1998-03-05,40.674071,-73.945831,11213,VIOLATION CLOSED,12/27/2013
27160,-2147483648,1998-03-12,40.662767,-73.888352,11207,DEFECT LETTER ISSUED,08/24/2022
21785,2057010117,1998-03-13,40.878986,-73.906088,10463,VIOLATION CLOSED,05/20/2013
19745,-2147483648,1998-03-16,40.646296,-73.945212,11203,VIOLATION CLOSED,12/11/2019
26477,-2147483648,1998-03-17,40.6751,-73.769104,11434,FIRST NO ACCESS TO RE- INSPECT VIOLATION,09/26/2022
26623,-2147483648,1998-03-17,40.6751,-73.769104,11434,FIRST NO ACCESS TO RE- INSPECT VIOLATION,09/26/2022
20230,-2147483648,1998-03-17,40.68655,-73.928224,11221,NOV SENT OUT,08/16/2007
20132,-2147483648,1998-03-17,40.691397,-73.93806,11221,VIOLATION DISMISSED,02/01/2019
20131,-2147483648,1998-03-17,40.691397,-73.93806,11221,VIOLATION DISMISSED,02/01/2019
20133,-2147483648,1998-03-17,40.691397,-73.93806,11221,VIOLATION DISMISSED,02/01/2019
26478,-2147483648,1998-03-17,40.6751,-73.769104,11434,FIRST NO ACCESS TO RE- INSPECT VIOLATION,09/26/2022
21866,2029880003,1998-03-17,40.832452,-73.889564,10460,NOV SENT OUT,08/13/2007
21865,2029880003,1998-03-17,40.832452,-73.889564,10460,NOV SENT OUT,08/13/2007
20258,-2147483648,1998-03-20,40.699498,-73.921632,11237,VIOLATION CLOSED,02/24/2016
20065,-2147483648,1998-03-20,40.641882,-73.999312,11220,VIOLATION CLOSED,09/17/2019
19981,-2147483648,1998-03-27,40.652056,-73.924604,11203,VIOLATION CLOSED,09/20/2013
20042,-2147483648,1998-04-07,40.646399,-73.908697,11236,VIOLATION CLOSED,09/15/2014
20040,-2147483648,1998-04-07,40.646399,-73.908697,11236,VIOLATION CLOSED,09/15/2014
21822,2031680061,1998-04-07,40.864551,-73.895545,10468,VIOLATION CLOSED,12/07/2012
21823,2031680061,1998-04-07,40.864551,-73.895545,10468,VIOLATION CLOSED,12/07/2012
21825,2031680061,1998-04-07,40.864551,-73.895545,10468,VIOLATION CLOSED,12/07/2012
21826,2031680061,1998-04-07,40.864551,-73.895545,10468,VIOLATION CLOSED,12/07/2012
21827,2031680061,1998-04-07,40.864551,-73.895545,10468,VIOLATION CLOSED,12/07/2012
21824,2031680061,1998-04-07,40.864551,-73.895545,10468,VIOLATION CLOSED,12/07/2012
20041,-2147483648,1998-04-07,40.646399,-73.908697,11236,VIOLATION CLOSED,09/15/2014
22246,2025170035,1998-04-09,40.839143,-73.922664,10452,VIOLATION CLOSED,04/10/2013
22249,2025170035,1998-04-09,40.839143,-73.922664,10452,VIOLATION CLOSED,04/10/2013
22247,2025170035,1998-04-09,40.839143,-73.922664,10452,VIOLATION CLOSED,04/10/2013
22248,2025170035,1998-04-09,40.839143,-73.922664,10452,VIOLATION CLOSED,04/10/2013
22250,2025170035,1998-04-09,40.839143,-73.922664,10452,VIOLATION CLOSED,04/10/2013
21151,2032020021,1998-04-09,40.867227,-73.89887,10468,NOT COMPLIED WITH,10/31/2016
19746,-2147483648,1998-04-12,40.646296,-73.945212,11203,VIOLATION CLOSED,12/11/2019
20076,-2147483648,1998-04-13,40.664122,-73.943824,11225,NOV SENT OUT,09/12/2007
16556,-2147483648,1998-04-13,40.65108,-73.944627,11203,NOV CERTIFIED LATE,12/02/2009
16557,-2147483648,1998-04-13,40.65108,-73.944627,11203,NOV CERTIFIED LATE,12/02/2009
20045,-2147483648,1998-04-14,40.646399,-73.908697,11236,VIOLATION CLOSED,09/15/2014
22378,2025570078,1998-04-14,40.812049,-73.91025,10455,VIOLATION CLOSED,03/22/2013
20043,-2147483648,1998-04-14,40.646399,-73.908697,11236,VIOLATION CLOSED,09/15/2014
20044,-2147483648,1998-04-14,40.646399,-73.908697,11236,VIOLATION CLOSED,09/15/2014
20046,-2147483648,1998-04-14,40.646399,-73.908697,11236,VIOLATION CLOSED,09/15/2014
20156,-2147483648,1998-04-15,40.738972,-73.919547,11377,VIOLATION CLOSED,07/24/2019
20158,-2147483648,1998-04-15,40.738972,-73.919547,11377,VIOLATION CLOSED,07/24/2019
20160,-2147483648,1998-04-15,40.738972,-73.919547,11377,VIOLATION CLOSED,07/24/2019
20157,-2147483648,1998-04-15,40.738972,-73.919547,11377,VIOLATION CLOSED,07/24/2019
20159,-2147483648,1998-04-15,40.738972,-73.919547,11377,VIOLATION CLOSED,07/24/2019
20155,-2147483648,1998-04-15,40.738972,-73.919547,11377,VIOLATION CLOSED,07/24/2019
20104,-2147483648,1998-04-19,40.700262,-73.91968,11237,VIOLATION CLOSED,06/03/2014
17506,-2147483648,1998-04-20,40.611958,-73.974637,11204,VIOLATION CLOSED,03/09/2018
20327,1022350041,1998-04-29,40.866175,-73.922221,10034,NOV SENT OUT,06/23/2005
21851,2041300033,1998-04-29,40.849868,-73.853306,10461,NOV SENT OUT,09/29/2009
21852,2041300033,1998-04-29,40.849868,-73.853306,10461,NOV SENT OUT,09/29/2009
19775,-2147483648,1998-05-04,40.64822,-73.944457,11203,FIRST NO ACCESS TO RE- INSPECT VIOLATION,06/06/2018
20531,2032610092,1998-05-12,40.879454,-73.901253,10463,VIOLATION CLOSED,06/07/2013
20342,1019070059,1998-05-14,40.807181,-73.948139,10027,VIOLATION DISMISSED,01/21/2018
20108,-2147483648,1998-05-14,40.747958,-73.911571,11377,NOV SENT OUT,08/13/2007
20109,-2147483648,1998-05-14,40.747958,-73.911571,11377,NOV SENT OUT,08/13/2007
20341,1019070059,1998-05-14,40.807181,-73.948139,10027,VIOLATION DISMISSED,01/21/2018
20343,1019070059,1998-05-14,40.807181,-73.948139,10027,VIOLATION DISMISSED,01/21/2018
20107,-2147483648,1998-05-14,40.747958,-73.911571,11377,NOV SENT OUT,08/13/2007
20112,-2147483648,1998-05-14,40.747958,-73.911571,11377,NOV SENT OUT,08/13/2007
20111,-2147483648,1998-05-14,40.747958,-73.911571,11377,NOV SENT OUT,08/13/2007
20110,-2147483648,1998-05-14,40.747958,-73.911571,11377,NOV SENT OUT,08/13/2007
20186,-2147483648,1998-05-15,40.703934,-73.894693,11385,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/11/2018
20185,-2147483648,1998-05-15,40.703934,-73.894693,11385,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/11/2018
20184,-2147483648,1998-05-15,40.703934,-73.894693,11385,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/11/2018
20183,-2147483648,1998-05-15,40.703934,-73.894693,11385,FIRST NO ACCESS TO RE- INSPECT VIOLATION,07/11/2018
20242,-2147483648,1998-05-18,40.624804,-74.040667,11209,VIOLATION CLOSED,07/22/2015
20114,-2147483648,1998-05-21,40.747958,-73.911571,11377,NOV SENT OUT,08/13/2007
20113,-2147483648,1998-05-21,40.747958,-73.911571,11377,NOV SENT OUT,08/13/2007
19632,-2147483648,1998-05-21,40.636795,-73.949057,11210,NOT COMPLIED WITH,03/22/2011
14009,-2147483648,1998-05-28,40.602699,-73.98745,11214,NOV SENT OUT,06/16/1998
26431,-2147483648,1998-05-29,40.653895,-73.928977,11203,FIRST NO ACCESS TO RE- INSPECT VIOLATION,09/20/2022
20287,1005607501,1998-05-30,40.731976,-73.99387,10003,SECOND NO ACCESS TO RE-INSPECT VIOLATION,07/16/2008
9433,-2147483648,1998-06-01,40.695894,-73.944644,11206,VIOLATION CLOSED,08/30/2018
16303,-2147483648,1998-06-03,40.697227,-73.923669,11221,DEFECT LETTER ISSUED,02/27/2018
1738,-2147483648,1998-06-03,40.676687,-73.910905,11233,VIOLATION CLOSED,10/16/2020
1737,-2147483648,1998-06-03,40.676687,-73.910905,11233,VIOLATION CLOSED,10/16/2020
20259,-2147483648,1998-06-04,40.665876,-73.915598,11212,VIOLATION CLOSED,11/29/2016
22031,2039447501,1998-06-05,40.838828,-73.8599,10462,VIOLATION DISMISSED,04/20/2020
22030,2039447501,1998-06-05,40.838828,-73.8599,10462,VIOLATION DISMISSED,04/22/2020
27222,2039437501,1998-06-08,40.837259,-73.857988,10462,NOV CERTIFIED ON TIME,04/10/2023
14404,-2147483648,1998-06-08,40.678271,-73.883589,11208,VIOLATION CLOSED,02/13/2021
27223,2039437501,1998-06-08,40.837259,-73.857988,10462,NOV CERTIFIED ON TIME,04/10/2023
22405,2039437501,1998-06-08,40.837259,-73.857988,10462,NOV CERTIFIED ON TIME,04/10/2023
22404,2039437501,1998-06-08,40.837259,-73.857988,10462,NOV CERTIFIED ON TIME,04/10/2023
